spec_id,source_id,source_url,robot_or_process,parameter_name,parameter_value,unit,evidence_level,notes,manufacturer_name,robot_brand,robot_model,robot_category,source_type,data_use,manufacturer_verified,claim_type,claim_use,independent_verification_status,used_in_model,model_use_note
SPEC-T01-01,T01,https://en.bm-robot.com/detail/173.html,concrete_leveling_robot,model_width_options,1.5;2.5,m,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,manufacturer_reported,structured_coding,yes,dimension,specification_context,not_verified,no,Physical dimensions for context only
SPEC-T01-02,T01,https://en.bm-robot.com/detail/173.html,concrete_leveling_robot,operating_efficiency,160;300,m2/h,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,manufacturer_reported,structured_coding,yes,efficiency,range_context_only,not_verified,no,Manufacturer efficiency range; not field productivity
SPEC-T01-03,T01,https://en.bm-robot.com/detail/173.html,concrete_leveling_robot,guidance_mode,remote_control,categorical,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,manufacturer_reported,structured_coding,yes,navigation,specification_context,not_verified,no,Guidance mode for discussion
SPEC-T02-01,T02,https://en.bm-robot.com/detail/174.html,concrete_finishing_robot,operating_efficiency,300,m2/h,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,concrete_finishing_robot,manufacturer_reported,structured_coding,yes,efficiency,range_context_only,not_verified,no,Manufacturer efficiency claim; not verified on site
SPEC-T02-02,T02,https://en.bm-robot.com/detail/174.html,concrete_finishing_robot,guidance_mode,autonomous;remote_control,categorical,E3,SLAM navigation reported,BrightMaster,BrightMaster,unknown,concrete_finishing_robot,manufacturer_reported,structured_coding,yes,navigation,specification_context,not_verified,no,Navigation capability for comparison context
SPEC-T03-01,T03,https://en.bm-robot.com/detail/177.html,floor_grinding_robot,navigation,LiDAR;autonomous_path_planning,categorical,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,floor_grinding_robot,manufacturer_reported,structured_coding,yes,navigation,specification_context,not_verified,no,Sensor/navigation spec for context
SPEC-T04-01,T04,https://en.bm-robot.com/detail/192.html,deployment_case,completed_area,3000,m2,E3,Abu Dhabi and RAK Central with ALEC,BrightMaster,BrightMaster,unknown,deployment_case,manufacturer_reported,structured_coding,yes,completed_area,discussion_only,not_verified,no,Case-study claim; not independently verified
SPEC-T04-02,T04,https://en.bm-robot.com/detail/192.html,deployment_case,operators_trained,20,count,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,deployment_case,manufacturer_reported,structured_coding,yes,trained_operator_count,discussion_only,not_verified,no,Training count from manufacturer page
SPEC-T04-03,T04,https://en.bm-robot.com/detail/192.html,deployment_case,flatness_tolerance,3,mm,E3,plus_minus reported,BrightMaster,BrightMaster,unknown,deployment_case,manufacturer_reported,structured_coding,yes,flatness,discussion_only,not_verified,no,Flatness claim; not field-validated
SPEC-T04-04,T04,https://en.bm-robot.com/detail/192.html,deployment_case,manpower_reduction_claim,30,percent,E3,manufacturer-reported,BrightMaster,BrightMaster,unknown,deployment_case,manufacturer_reported,structured_coding,yes,manpower_reduction,exclude,not_verified,no,Excluded from model inputs; promotional claim
