observation_id,video_id,segment_id,robot_activity_type,operating_surface,movement_pattern,guidance_mode,operator_count_visible,assistant_count_visible,setup_visible,setup_complexity,operational_continuity,interruption_count,obstacle_presence,human_robot_separation,safety_condition,edge_condition,robot_transport_requirement,task_duration_observed,duration_validity,evidence_level,coding_confidence,manufacturer_name,robot_brand,robot_model,robot_category,robot_activity_group,manufacturer_verified,comparison_robot,source_type,data_use,label_revision_note,visible_segment_duration_sec,duration_validity_reason,usable_for_productivity,is_duplicate_or_parallel,duplicate_group_id,independent_sample,visible_duration_validity,parallel_source_note
OBS-R02-001,R02,R02-S01,concrete_leveling,wet_concrete,linear,unknown,1,0,no,unknown,continuous,0,yes,medium,moderate,not_visible,unknown,16,invalid,E1,medium,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,fresh_concrete_leveling,yes,no,video_observed,structured_coding,,16,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R05-001,R05,R05-S01,post_cast_coating,hardened_concrete,grid-based,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,60,invalid,E2,medium,BrightMaster,BrightMaster,unknown,coating_robot,post_cast_coating,yes,no,video_estimated,structured_coding,Indoor coating on hardened surface; not fresh concrete,60,promotional or edited demo; not productivity time,no,no,,yes,invalid,Indoor coating on hardened surface; not fresh concrete
OBS-R06-001,R06,R06-S01,floor_grinding,hardened_concrete,guided,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,178,invalid,E2,medium,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,video_estimated,structured_coding,,178,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R07-001,R07,R07-S01,post_cast_coating,hardened_concrete,grid-based,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,215,invalid,E2,medium,BrightMaster,BrightMaster,NP320,coating_robot,post_cast_coating,yes,no,video_estimated,structured_coding,Indoor coating on hardened surface; not fresh concrete,215,promotional or edited demo; not productivity time,no,yes,DUP-BMR-NP320-COATING,yes,invalid,Indoor coating on hardened surface; not fresh concrete
OBS-R09-001,R09,R09-S01,concrete_leveling,wet_concrete,linear,remote_control,1,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,79,invalid,E2,medium,BrightMaster,BrightMaster,unknown,concrete_leveling_robot,fresh_concrete_leveling,yes,no,video_estimated,structured_coding,,79,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R10-001,R10,R10-S01,floor_grinding,hardened_concrete,grid-based,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,79,invalid,E2,medium,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,video_estimated,structured_coding,,79,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R11-001,R11,R11-S01,floor_grinding,hardened_concrete,vertical_scan,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,90,invalid,E2,medium,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,video_estimated,structured_coding,,90,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R12-001,R12,R12-S01,floor_grinding,hardened_concrete,overhead_scan,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,64,invalid,E2,medium,BrightMaster,BrightMaster,unknown,floor_grinding_robot,post_cast_floor_grinding,yes,no,video_estimated,structured_coding,,64,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R13-001,R13,R13-S01,post_cast_coating,hardened_concrete,grid-based,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,158,invalid,E2,medium,BrightMaster,BrightMaster,NP320pro,coating_robot,post_cast_coating,yes,no,video_estimated,structured_coding,,158,promotional or edited demo; not productivity time,no,yes,DUP-BMR-NP320-COATING,no,invalid,
OBS-R15-001,R15,R15-S01,layout_marking,pre_pour_slab,point_to_point,autonomous,0,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,94,invalid,E2,medium,BrightMaster,BrightMaster,unknown,layout_robot,layout_marking,yes,no,video_estimated,structured_coding,,94,promotional or edited demo; not productivity time,no,no,,yes,invalid,
OBS-R22-001,R22,R22-S01,concrete_leveling,wet_concrete,linear,autonomous,1,0,no,unknown,continuous,0,no,high,good,not_visible,unknown,55,invalid,E2,medium,Bright Dream,Bright Dream,unknown,concrete_leveling_robot,fresh_concrete_leveling,yes,yes,video_estimated,structured_coding,Non-BrightMaster comparison; GNSS auto-navigation per distributor description,55,promotional or edited demo; not productivity time,no,no,,yes,invalid,Non-BrightMaster comparison; GNSS auto-navigation per distributor description
